Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778041938,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778041939,15,GET,/?p=5,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,15,0,600.0,603.0919961999947,559.93779200071,634.3893920002301,342701.0
1778041939,15,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,15,0,600.0,603.0919961999947,559.93779200071,634.3893920002301,342701.0
1778041941,30,GET,/?p=15,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,13,0,600.0,621.7147346924321,528.7969149994751,749.8853510005574,29562.0
1778041941,30,GET,/?p=5,0.000000,0.000000,800,840,890,890,910,920,920,920,920,920,920,30,0,630.0,711.2446581665912,559.93779200071,915.8562769989658,342701.0
1778041941,30,GET,/?p=8,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,15,0,800.0,807.9697938666262,650.4511589992035,1309.1040279996378,451845.0
1778041941,30,,Aggregated,0.000000,0.000000,700,760,800,830,890,910,920,1300,1300,1300,1300,58,0,700.0,716.1927276551507,528.7969149994751,1309.1040279996378,300741.5689655172
1778041942,45,GET,/?p=15,0.000000,0.000000,600,600,600,600,770,770,770,770,770,770,770,16,0,600.0,625.1722781250919,528.7969149994751,765.880806999121,29562.0
1778041942,45,GET,/?p=5,7.500000,0.000000,820,840,890,890,910,920,930,930,930,930,930,37,0,750.0,732.9812184863742,559.93779200071,929.1977399989264,342701.0
1778041942,45,GET,/?p=8,0.000000,0.000000,720,740,770,770,770,880,880,880,880,880,880,30,0,740.0,741.981850199833,525.0534159986273,1309.1040279996378,451845.0
1778041942,45,GET,/wp-content/uploads/2026/05/AsterNovi-belgii-flower-1mb-1.jpg,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,15,0,160.0,182.1029348667556,99.4329920013115,301.7809320008382,1046692.0
1778041942,45,,Aggregated,7.500000,0.000000,650,750,790,810,880,900,930,1300,1300,1300,1300,98,0,650.0,633.8169496223841,99.4329920013115,1309.1040279996378,432741.4183673469
1778041943,60,GET,/?p=15,0.000000,0.000000,770,780,790,790,840,920,920,920,920,920,920,30,0,710.0,698.2130015334405,528.7969149994751,915.3046890005498,29562.0
1778041943,60,GET,/?p=5,7.500000,0.000000,920,1100,1100,1200,1200,1200,1200,1200,1200,1200,1200,60,0,840.0,874.6318619998116,559.93779200071,1199.7074049995717,342701.0
1778041943,60,GET,/?p=8,0.000000,0.000000,740,770,790,790,880,940,940,940,940,940,940,35,0,760.0,753.5493600284618,525.0534159986273,1309.1040279996378,451845.0
1778041943,60,GET,/wp-content/uploads/2026/05/AsterNovi-belgii-flower-1mb-1.jpg,0.000000,0.000000,160,190,200,200,220,340,340,340,340,340,340,30,0,160.0,181.05733880020125,99.4329920013115,342.75984200030507,1046692.0
1778041943,60,,Aggregated,7.500000,0.000000,740,790,840,890,1100,1200,1200,1200,1300,1300,1300,155,0,740.0,678.904835683833,99.4329920013115,1309.1040279996378,442995.1935483871
1778041944,75,GET,/?p=15,4.000000,0.000000,770,780,790,790,840,920,1500,1500,1500,1500,1500,31,0,720.0,725.6499152904472,528.7969149994751,1548.7573280006472,29562.0
1778041944,75,GET,/?p=5,9.000000,0.000000,920,1100,1100,1100,1200,1200,1200,1200,1200,1200,1200,61,0,840.0,873.5768553768914,559.93779200071,1199.7074049995717,342701.0
1778041944,75,GET,/?p=8,7.500000,0.000000,740,770,790,790,880,940,2000,2000,2000,2000,2000,36,0,760.0,787.4223024443078,525.0534159986273,1972.975286998917,451845.0
1778041944,75,GET,/wp-content/uploads/2026/05/AsterNovi-belgii-flower-1mb-1.jpg,3.750000,0.000000,160,190,200,200,220,340,340,340,340,340,340,30,0,160.0,181.05733880020125,99.4329920013115,342.75984200030507,1046692.0
1778041944,75,,Aggregated,24.250000,0.000000,740,790,840,890,1100,1200,1200,1500,2000,2000,2000,158,0,740.0,693.4320164809833,99.4329920013115,1972.975286998917,439799.7658227848
1778041945,90,GET,/?p=15,6.000000,0.000000,780,790,840,1400,1500,1700,2100,2100,2100,2100,2100,35,0,740.0,833.9618606572913,528.7969149994751,2050.061691999872,29562.0
1778041945,90,GET,/?p=5,12.000000,0.000000,1200,1800,2000,2200,2600,2700,2800,3000,3000,3000,3000,103,0,1100.0,1375.4671696698954,559.93779200071,3029.446406000716,342701.0
1778041945,90,GET,/?p=8,7.000000,0.000000,2000,2600,2700,2800,2900,2900,3200,3200,3200,3200,3200,55,0,820.0,1445.1565498908828,525.0534159986273,3191.2622099989676,451845.0
1778041945,90,GET,/wp-content/uploads/2026/05/AsterNovi-belgii-flower-1mb-1.jpg,6.000000,0.000000,180,200,220,230,330,340,340,340,340,340,340,34,0,160.0,187.87277176494064,99.4329920013115,342.75984200030507,1046692.0
1778041945,90,,Aggregated,31.000000,0.000000,810,1100,1600,1900,2600,2700,2900,2900,3200,3200,3200,227,0,810.0,1130.9826787797836,99.4329920013115,3191.2622099989676,426307.82378854626
