scenario,instances,users,Request Count,95%,Failure Count
hibrido_3pag,1,152,2292.0,3500.0,0.0
hibrido_3pag,1,155,1967.0,4300.0,0.0
hibrido_3pag,1,159,2259.0,3500.0,0.0
hibrido_3pag,1,200,1902.0,4600.0,0.0
hibrido_3pag,2,152,1948.0,3800.0,2.0
hibrido_3pag,2,155,1746.0,4100.0,10.0
hibrido_3pag,2,159,1270.0,9300.0,85.0
hibrido_3pag,2,200,1579.0,6800.0,417.0
hibrido_3pag,3,152,1904.0,3900.0,3.0
hibrido_3pag,3,155,1293.0,5900.0,0.0
hibrido_3pag,3,159,1550.0,4800.0,46.0
hibrido_3pag,3,200,1426.0,8100.0,352.0
imagem_1mb,1,152,4064.0,2100.0,0.0
imagem_1mb,1,155,3485.0,2200.0,0.0
imagem_1mb,1,159,3942.0,2100.0,0.0
imagem_1mb,1,200,2211.0,4600.0,0.0
imagem_1mb,2,152,3564.0,2200.0,0.0
imagem_1mb,2,155,2695.0,2900.0,0.0
imagem_1mb,2,159,2487.0,3700.0,0.0
imagem_1mb,2,200,2807.0,4400.0,163.0
imagem_1mb,3,152,3018.0,2500.0,0.0
imagem_1mb,3,155,3122.0,2500.0,0.0
imagem_1mb,3,159,3557.0,2100.0,0.0
imagem_1mb,3,200,1871.0,6200.0,68.0
texto_300kb,1,152,2167.0,3100.0,0.0
texto_300kb,1,155,1988.0,3100.0,0.0
texto_300kb,1,159,1771.0,3600.0,0.0
texto_300kb,1,200,1623.0,4600.0,0.0
texto_300kb,2,152,1826.0,4100.0,16.0
texto_300kb,2,155,1625.0,3900.0,155.0
texto_300kb,2,159,1779.0,3600.0,208.0
texto_300kb,2,200,2524.0,5400.0,1366.0
texto_300kb,3,152,1305.0,7200.0,23.0
texto_300kb,3,155,837.0,7300.0,48.0
texto_300kb,3,159,1387.0,4600.0,46.0
texto_300kb,3,200,2133.0,5100.0,993.0
texto_400kb,1,152,1606.0,3600.0,0.0
texto_400kb,1,155,1398.0,4000.0,0.0
texto_400kb,1,159,1420.0,4200.0,0.0
texto_400kb,1,200,1236.0,5700.0,0.0
texto_400kb,2,152,1518.0,4100.0,30.0
texto_400kb,2,155,1176.0,5400.0,36.0
texto_400kb,2,159,1645.0,4100.0,267.0
texto_400kb,2,200,2277.0,6200.0,1429.0
texto_400kb,3,152,1016.0,8300.0,1.0
texto_400kb,3,155,1030.0,7000.0,40.0
texto_400kb,3,159,1307.0,4900.0,126.0
texto_400kb,3,200,1525.0,8100.0,881.0
